antibiotic,test_samples,resistant_samples,susceptible_samples,balanced_accuracy,resistant_recall,susceptible_recall,f1,auroc,pr_auc,brier_score,called_samples,no_call_samples,no_call_rate,called_accuracy,called_accuracy_wilson_95_lower,called_accuracy_wilson_95_upper,likely_to_work_calls,likely_to_work_precision,likely_to_work_precision_wilson_95_lower,likely_to_work_precision_wilson_95_upper,likely_to_fail_calls,likely_to_fail_precision,likely_to_fail_precision_wilson_95_lower,likely_to_fail_precision_wilson_95_upper,work_threshold,fail_threshold
ciprofloxacin,24,12,12,0.9166666666666667,0.8333333333333334,1.0,0.9090909090909091,0.9791666666666666,0.9833333333333334,0.06615666023687539,24,0,0.0,0.9166666666666666,0.741511978067893,0.9768411847029567,14,0.8571428571428571,0.6005862050302965,0.9599060787285351,10,1.0,0.7224672001371107,0.9999999999999999,0.46613562725980695,0.5385640576903952
ampicillin,24,12,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.951388888888889,0.947585978835979,0.07141651043959032,17,7,0.2916666666666667,0.9411764705882353,0.7301796936242461,0.9895395990150025,5,1.0,0.5655175352168251,1.0,12,0.9166666666666666,0.646120088858883,0.9851349055950829,0.15465531142271882,0.7272522596849083
